00:00.500	ID:2	Rime started with address 0.18.116.2.0.2.2.2
00:00.509	ID:2	MAC 00:12:74:02:00:02:02:02 Contiki-bc2e445 started. Node id is set to 2.
00:00.517	ID:2	nullsec CSMA nullrdc, channel check rate 128 Hz, radio channel 26, CCA threshold -45
00:00.528	ID:2	Tentative link-local IPv6 address fe80:0000:0000:0000:0212:7402:0002:0202
00:00.532	ID:2	Starting 'UDP client process' 'collect common process'
00:00.535	ID:2	UDP client process started
00:00.539	ID:2	Client IPv6 addresses: fd00::212:7402:2:202
00:00.542	ID:2	fe80::212:7402:2:202
00:00.547	ID:2	Created a connection with the server :: local/remote port 8775/5688
00:00.646	ID:1	Rime started with address 0.18.116.1.0.1.1.1
00:00.654	ID:1	MAC 00:12:74:01:00:01:01:01 Contiki-bc2e445 started. Node id is set to 1.
00:00.663	ID:1	nullsec CSMA nullrdc, channel check rate 128 Hz, radio channel 26, CCA threshold -45
00:00.674	ID:1	Tentative link-local IPv6 address fe80:0000:0000:0000:0212:7401:0001:0101
00:00.678	ID:1	Starting 'UDP server process' 'collect common process'
00:00.679	ID:1	I am sink!
00:00.680	ID:1	UDP server started
00:00.684	ID:1	created a new RPL dag
00:00.689	ID:1	Server IPv6 addresses: fd00::212:7401:1:101
00:00.690	ID:1	fd00::1
00:00.693	ID:1	fe80::212:7401:1:101
00:00.699	ID:1	Created a server connection with remote address :: local/remote port 5688/8775
00:01.163	ID:3	Rime started with address 0.18.116.3.0.3.3.3
00:01.172	ID:3	MAC 00:12:74:03:00:03:03:03 Contiki-bc2e445 started. Node id is set to 3.
00:01.181	ID:3	nullsec CSMA nullrdc, channel check rate 128 Hz, radio channel 26, CCA threshold -45
00:01.191	ID:3	Tentative link-local IPv6 address fe80:0000:0000:0000:0212:7403:0003:0303
00:01.195	ID:3	Starting 'UDP client process' 'collect common process'
00:01.198	ID:3	UDP client process started
00:01.202	ID:3	Client IPv6 addresses: fd00::212:7403:3:303
00:01.205	ID:3	fe80::212:7403:3:303
00:01.211	ID:3	Created a connection with the server :: local/remote port 8775/5688
01:24.464	ID:1	30 0 83 0 771 1 1 0 22 10659 0 2847 39783 14 42609 257 64 281 2 131 252 1 133 182 65535 65535 0 0 0 0
01:27.105	ID:1	30 0 86 0 514 1 1 0 22 11082 0 2964 41359 17 44298 257 64 281 2 131 252 1 133 182 65535 65535 0 0 0 0
02:17.011	ID:1	30 0 136 0 771 2 1 0 22 17385 0 3454 50353 8 53798 257 64 273 2 262 187 1 124 117 65535 65535 0 0 0 0
02:55.949	ID:1	30 0 175 0 514 2 1 0 22 22454 0 2918 42569 4 45483 257 64 273 2 262 187 1 124 117 65535 65535 0 0 0 0
03:03.901	ID:1	30 0 183 0 771 3 1 0 22 23387 0 2984 45031 6 48009 257 64 270 2 262 171 1 108 101 65535 65535 0 0 0 0
03:54.292	ID:1	30 0 233 0 514 3 1 0 22 29922 0 3861 55882 9 59734 257 64 270 2 262 171 1 108 101 65535 65535 0 0 0 0
04:36.066	ID:1	30 0 275 0 771 4 1 0 22 35184 0 3002 44185 4 47183 257 64 265 2 524 155 1 92 141 65535 65535 0 0 0 0
04:51.409	ID:1	30 0 290 0 514 4 1 0 22 37233 0 3847 54639 9 58478 257 64 265 2 524 155 1 92 141 65535 65535 0 0 0 0
05:53.799	ID:1	30 0 353 0 514 5 1 0 22 45219 0 4101 59786 3 63884 257 64 263 2 524 146 1 83 76 65535 65535 0 0 0 0
05:57.660	ID:1	30 0 357 0 771 5 1 0 22 45628 0 2654 39121 3 41772 257 64 263 2 524 146 1 83 132 65535 65535 0 0 0 0
06:13.339	ID:1	30 0 372 0 771 6 1 0 22 47635 0 4283 59935 12 64206 257 64 261 2 524 116 1 53 46 65535 65535 0 0 0 0
06:46.714	ID:1	30 0 406 0 514 6 1 0 22 51992 0 3493 50691 6 54177 257 64 261 2 524 137 1 74 123 65535 65535 0 0 0 0
07:19.768	ID:1	30 0 439 0 514 7 1 0 22 56223 0 2180 31666 6 33840 257 64 260 2 524 128 1 65 114 65535 65535 0 0 0 0
07:23.363	ID:1	30 0 442 0 771 7 1 0 22 56598 0 2257 33594 4 35847 257 64 260 2 524 100 1 37 30 65535 65535 0 0 0 0
08:33.604	ID:1	30 0 512 0 771 8 1 0 22 53 0 2279 33684 2 35960 257 64 258 2 524 84 1 21 14 65535 65535 0 0 0 0
08:50.667	ID:1	30 0 530 0 514 8 1 0 22 2322 0 2969 43571 4 46535 257 64 258 2 1048 119 1 56 105 65535 65535 0 0 0 0
09:48.776	ID:1	30 0 588 0 771 9 1 0 22 9675 0 2452 36035 3 38484 257 64 257 2 1048 75 1 12 5 65535 65535 0 0 0 0
09:56.511	ID:1	30 0 595 0 514 9 1 0 22 10750 0 2166 31545 1 33710 257 64 257 2 1048 110 1 47 40 65535 65535 0 0 0 0
10:30.206	ID:1	30 0 629 0 514 10 1 0 22 15063 0 2270 32233 6 34496 257 64 256 2 1048 94 1 31 24 65535 65535 0 0 0 0
10:57.550	ID:1	30 0 656 0 771 10 1 0 22 18478 0 2266 32945 3 35208 257 64 256 2 1048 59 1 252 45 65535 65535 0 0 0 0
11:11.855	ID:1	30 0 671 0 514 11 1 0 22 20394 0 2662 39985 3 42645 257 64 256 2 1048 78 1 15 8 65535 65535 0 0 0 0
11:45.542	ID:1	30 0 704 0 771 11 1 0 22 24621 0 3160 45983 3 49140 257 64 256 2 1048 50 1 243 236 65535 65535 0 0 0 0
12:02.894	ID:1	30 0 722 0 771 12 1 0 22 26842 0 2243 33293 6 35530 257 64 256 2 1048 34 1 227 220 65535 65535 0 0 0 0
12:22.675	ID:1	30 0 742 0 514 12 1 0 22 29459 0 2267 33992 3 36256 257 64 256 2 1048 62 1 255 248 65535 65535 0 0 0 0
13:06.644	ID:1	30 0 785 0 514 13 1 0 22 35087 0 2809 42214 5 45018 257 64 256 2 1048 46 1 239 32 65535 65535 0 0 0 0
13:42.214	ID:1	30 0 821 0 771 13 1 0 22 39555 0 3232 47618 4 50847 257 64 256 2 1048 18 1 211 204 65535 65535 0 0 0 0
14:12.777	ID:1	30 0 852 0 514 14 1 0 22 43552 0 2147 31712 4 33855 257 64 256 2 1048 37 1 230 223 65535 65535 0 0 0 0
14:54.722	ID:1	30 0 894 0 771 14 1 0 22 48836 0 2356 34767 1 37122 257 64 256 2 1048 2 1 195 188 65535 65535 0 0 0 0
15:03.480	ID:1	30 0 902 0 771 15 1 0 22 49957 0 2446 33422 12 35856 257 64 256 2 1048 242 1 179 172 65535 65535 0 0 0 0
15:07.159	ID:1	30 0 906 0 514 15 1 0 22 50513 0 3464 52222 6 55680 257 64 256 2 1048 28 1 221 214 65535 65535 0 0 0 0
16:10.816	ID:1	30 0 970 0 771 16 1 0 22 58576 0 2150 32325 3 34472 257 64 256 2 1048 226 1 163 156 65535 65535 0 0 0 0
16:28.371	ID:1	30 0 987 0 514 16 1 0 22 60908 0 2613 38966 3 41576 257 64 256 2 1048 12 1 205 198 65535 65535 0 0 0 0
17:27.550	ID:1	30 0 1046 0 514 17 1 0 22 2947 0 3824 56774 6 60592 257 64 256 2 1048 3 1 196 245 65535 65535 0 0 0 0
17:41.699	ID:1	30 0 1061 0 771 17 1 0 22 4673 0 2925 43606 3 46528 257 64 256 2 2097 210 1 147 140 65535 65535 0 0 0 0
18:18.097	ID:1	30 0 1097 0 514 18 1 0 22 9417 0 3285 48474 6 51753 257 64 256 2 2097 250 1 187 180 65535 65535 0 0 0 0
18:55.418	ID:1	30 0 1134 0 771 18 1 0 22 14109 0 2418 35325 3 37740 257 64 256 2 2097 194 1 131 124 65535 65535 0 0 0 0
